NUM_ART;month_of_year;year_of_calendar;QTE_VTE
65998023;9;2016;1.0
65998023;9;2017;4.0
65998023;9;2018;9.0
65998023;9;2019;9.0
65998023;10;2016;4.0
65998023;10;2017;2.0
65998023;10;2018;12.0
65998023;10;2019;18.0
65998023;11;2016;1.0
65998023;11;2017;10.0
65998023;11;2018;11.0
65998023;11;2019;26.0
65998023;12;2016;4.0
65998023;12;2017;10.0
65998023;12;2018;10.0
65998023;12;2019;23.0
66192686;1;2017;50.0
66192686;1;2018;71.0
66192686;1;2019;181.0
66192686;1;2020;32.0
66192686;2;2017;45.0
66192686;2;2018;108.0
66192686;2;2019;164.0
66192686;3;2017;57.0
66192686;3;2018;73.0
66192686;3;2019;162.0
66192686;4;2017;72.0
66192686;4;2018;39.0
66192686;4;2019;200.0
66192686;5;2017;137.0
66192686;5;2018;89.0
66192686;5;2019;181.0
66192686;6;2017;140.0
66192686;6;2018;101.0
66192686;6;2019;205.0
66192686;7;2016;42.0
66192686;7;2017;123.0
66192686;7;2018;126.0
66192686;7;2019;199.0
66192686;8;2016;64.0
66192686;8;2017;142.0
66192686;8;2018;125.0
66192686;8;2019;209.0
66192686;9;2016;55.0
66192686;9;2017;125.0
66192686;9;2018;135.0
66192686;9;2019;150.0
66192686;10;2016;77.0
66192686;10;2017;138.0
66192686;10;2018;161.0
66192686;10;2019;152.0
66192686;11;2016;49.0
66192686;11;2017;70.0
66192686;11;2018;159.0
66192686;11;2019;169.0
66192686;12;2016;78.0
66192686;12;2017;69.0
66192686;12;2018;165.0
66192686;12;2019;196.0
66416903;1;2017;767.0
66416903;1;2018;901.0
66416903;1;2019;417.0
66416903;1;2020;44.0
66416903;2;2017;549.0
66416903;2;2018;486.0
66416903;2;2019;317.0
66416903;3;2017;1464.0
66416903;3;2018;1328.0
66416903;3;2019;339.0
66416903;4;2017;830.0
66416903;4;2018;965.0
66416903;4;2019;258.0
66416903;5;2017;540.0
66416903;5;2018;639.0
66416903;5;2019;241.0
66416903;6;2017;367.0
66416903;6;2018;428.0
66416903;6;2019;350.0
66416903;7;2016;252.0
66416903;7;2017;1798.0
66416903;7;2018;1742.0
66416903;7;2019;1702.0
66416903;8;2016;264.0
66416903;8;2017;875.0
66416903;8;2018;669.0
66416903;8;2019;748.0
66416903;9;2016;235.0
66416903;9;2017;598.0
66416903;9;2018;405.0
66416903;9;2019;381.0
66416903;10;2016;273.0
66416903;10;2017;534.0
66416903;10;2018;2214.0
66416903;10;2019;341.0
66416903;11;2016;623.0
66416903;11;2017;940.0
66416903;11;2018;1238.0
66416903;11;2019;265.0
66416903;12;2016;1497.0
66416903;12;2017;1582.0
66416903;12;2018;548.0
66416903;12;2019;288.0
66446996;1;2017;45.0
66446996;1;2018;2.0
66446996;1;2019;1.0
66446996;2;2017;43.0
66446996;2;2018;3.0
66446996;3;2017;25.0
66446996;3;2018;1.0
66446996;4;2017;38.0
66446996;5;2017;11.0
66446996;6;2017;12.0
66446996;6;2018;1.0
66446996;7;2016;34.0
66446996;7;2017;8.0
66446996;7;2018;0.0
66446996;7;2019;1.0
66446996;8;2016;67.0
66446996;8;2017;5.0
66446996;9;2016;46.0
66446996;9;2017;5.0
66446996;9;2018;-1.0
66446996;10;2016;52.0
66446996;10;2017;5.0
66446996;10;2018;1.0
66446996;11;2016;45.0
66446996;11;2017;3.0
66446996;12;2016;52.0
66446996;12;2017;3.0
66904593;1;2017;23.0
66904593;1;2018;0.0
66904593;2;2017;1.0
66904593;2;2018;1.0
66904593;3;2017;1.0
66904593;4;2017;5.0
66904593;5;2017;5.0
66904593;6;2017;4.0
66904593;7;2016;6.0
66904593;7;2017;3.0
66904593;8;2016;11.0
66904593;9;2016;9.0
66904593;9;2017;1.0
66904593;10;2016;7.0
66904593;11;2016;4.0
66904593;12;2016;7.0
66904593;12;2017;5.0
66998946;1;2017;4.0
66998946;1;2018;6.0
66998946;2;2017;1.0
66998946;2;2018;2.0
66998946;2;2019;1.0
66998946;3;2017;1.0
66998946;3;2018;5.0
66998946;3;2019;1.0
66998946;4;2017;4.0
66998946;4;2018;1.0
66998946;4;2019;1.0
66998946;5;2018;1.0
66998946;5;2019;7.0
66998946;6;2017;6.0
66998946;6;2018;4.0
66998946;6;2019;2.0
66998946;7;2016;2.0
66998946;7;2017;8.0
66998946;7;2018;2.0
66998946;7;2019;9.0
66998946;8;2016;4.0
66998946;8;2017;4.0
66998946;8;2018;2.0
66998946;8;2019;3.0
66998946;9;2016;3.0
66998946;9;2017;4.0
66998946;9;2018;7.0
66998946;9;2019;3.0
66998946;10;2017;5.0
66998946;10;2018;2.0
66998946;10;2019;1.0
66998946;11;2016;4.0
66998946;11;2017;3.0
66998946;11;2018;1.0
66998946;11;2019;2.0
66998946;12;2016;2.0
66998946;12;2017;2.0
66998946;12;2018;2.0
66998946;12;2019;0.0
66998960;1;2017;8.0
66998960;1;2018;16.0
66998960;1;2019;10.0
66998960;1;2020;4.0
66998960;2;2017;11.0
66998960;2;2018;21.0
66998960;2;2019;10.0
66998960;3;2017;7.0
66998960;3;2018;13.0
66998960;3;2019;13.0
66998960;4;2017;3.0
66998960;4;2018;16.0
66998960;4;2019;22.0
66998960;5;2017;12.0
66998960;5;2018;15.0
66998960;5;2019;17.0
66998960;6;2017;15.0
66998960;6;2018;21.0
66998960;6;2019;11.0
66998960;7;2016;12.0
66998960;7;2017;19.0
66998960;7;2018;12.0
66998960;7;2019;17.0
66998960;8;2016;10.0
66998960;8;2017;12.0
66998960;8;2018;21.0
66998960;8;2019;7.0
66998960;9;2016;10.0
66998960;9;2017;10.0
66998960;9;2018;24.0
66998960;9;2019;23.0
66998960;10;2016;12.0
66998960;10;2017;18.0
66998960;10;2018;14.0
66998960;10;2019;31.0
66998960;11;2016;10.0
66998960;11;2017;12.0
66998960;11;2018;17.0
66998960;11;2019;19.0
66998960;12;2016;7.0
66998960;12;2017;22.0
66998960;12;2018;15.0
66998960;12;2019;29.0
66998995;1;2017;17.0
66998995;1;2018;12.0
66998995;1;2019;11.0
66998995;1;2020;1.0
66998995;2;2017;16.0
66998995;2;2018;18.0
66998995;2;2019;17.0
66998995;3;2017;15.0
66998995;3;2018;20.0
66998995;3;2019;19.0
66998995;4;2017;12.0
66998995;4;2018;22.0
66998995;4;2019;27.0
66998995;5;2017;13.0
66998995;5;2018;22.0
66998995;5;2019;20.0
66998995;6;2017;24.0
66998995;6;2018;12.0
66998995;6;2019;10.0
66998995;7;2016;4.0
66998995;7;2017;15.0
66998995;7;2018;16.0
66998995;7;2019;15.0
