NUM_ART;week_of_year;year_of_calendar;QTE_VTE
62183023;3;2018;31.0
62183023;3;2019;17.0
62183023;4;2017;16.0
62183023;4;2018;22.0
62183023;4;2019;21.0
62183023;5;2017;15.0
62183023;5;2018;18.0
62183023;5;2019;22.0
62183023;6;2017;24.0
62183023;6;2018;18.0
62183023;6;2019;24.0
62183023;7;2017;12.0
62183023;7;2018;22.0
62183023;7;2019;23.0
62183023;8;2017;24.0
62183023;8;2018;20.0
62183023;8;2019;24.0
62183023;9;2017;27.0
62183023;9;2018;24.0
62183023;9;2019;16.0
62183023;10;2017;22.0
62183023;10;2018;16.0
62183023;10;2019;20.0
62183023;11;2017;20.0
62183023;11;2018;25.0
62183023;11;2019;23.0
62183023;12;2017;27.0
62183023;12;2018;26.0
62183023;12;2019;24.0
62183023;13;2017;20.0
62183023;13;2018;21.0
62183023;13;2019;24.0
62183023;14;2017;29.0
62183023;14;2018;12.0
62183023;14;2019;16.0
62183023;15;2017;21.0
62183023;15;2018;28.0
62183023;15;2019;25.0
62183023;16;2017;22.0
62183023;16;2018;20.0
62183023;16;2019;16.0
62183023;17;2017;20.0
62183023;17;2018;24.0
62183023;17;2019;23.0
62183023;18;2017;28.0
62183023;18;2018;25.0
62183023;18;2019;31.0
62183023;19;2017;14.0
62183023;19;2018;16.0
62183023;19;2019;15.0
62183023;20;2017;19.0
62183023;20;2018;16.0
62183023;20;2019;23.0
62183023;21;2017;12.0
62183023;21;2018;12.0
62183023;21;2019;11.0
62183023;22;2017;25.0
62183023;22;2018;30.0
62183023;22;2019;10.0
62183023;23;2017;24.0
62183023;23;2018;20.0
62183023;23;2019;25.0
62183023;24;2017;30.0
62183023;24;2018;21.0
62183023;24;2019;19.0
62183023;25;2017;18.0
62183023;25;2018;17.0
62183023;25;2019;23.0
62183023;26;2016;3.0
62183023;26;2017;29.0
62183023;26;2018;21.0
62183023;26;2019;17.0
62183023;27;2016;8.0
62183023;27;2017;43.0
62183023;27;2018;22.0
62183023;27;2019;21.0
62183023;28;2016;7.0
62183023;28;2017;25.0
62183023;28;2018;23.0
62183023;28;2019;14.0
62183023;29;2016;20.0
62183023;29;2017;33.0
62183023;29;2018;16.0
62183023;29;2019;24.0
62183023;30;2016;17.0
62183023;30;2017;35.0
62183023;30;2018;24.0
62183023;30;2019;22.0
62183023;31;2016;19.0
62183023;31;2017;23.0
62183023;31;2018;17.0
62183023;31;2019;23.0
62183023;32;2016;26.0
62183023;32;2017;17.0
62183023;32;2018;21.0
62183023;32;2019;29.0
62183023;33;2016;17.0
62183023;33;2017;44.0
62183023;33;2018;20.0
62183023;33;2019;20.0
62183023;34;2016;10.0
62183023;34;2017;35.0
62183023;34;2018;9.0
62183023;34;2019;24.0
62183023;35;2016;18.0
62183023;35;2017;22.0
62183023;35;2018;10.0
62183023;35;2019;24.0
62183023;36;2016;25.0
62183023;36;2017;25.0
62183023;36;2018;16.0
62183023;36;2019;23.0
62183023;37;2016;20.0
62183023;37;2017;23.0
62183023;37;2018;18.0
62183023;37;2019;18.0
62183023;38;2016;19.0
62183023;38;2017;15.0
62183023;38;2018;17.0
62183023;38;2019;27.0
62183023;39;2016;14.0
62183023;39;2017;44.0
62183023;39;2018;20.0
62183023;39;2019;27.0
62183023;40;2016;19.0
62183023;40;2017;40.0
62183023;40;2018;28.0
62183023;40;2019;22.0
62183023;41;2016;17.0
62183023;41;2017;35.0
62183023;41;2018;16.0
62183023;41;2019;25.0
62183023;42;2016;18.0
62183023;42;2017;45.0
62183023;42;2018;27.0
62183023;42;2019;33.0
62183023;43;2016;24.0
62183023;43;2017;39.0
62183023;43;2018;13.0
62183023;43;2019;21.0
62183023;44;2016;15.0
62183023;44;2017;24.0
62183023;44;2018;22.0
62183023;44;2019;21.0
62183023;45;2016;17.0
62183023;45;2017;22.0
62183023;45;2018;16.0
62183023;45;2019;23.0
62183023;46;2016;26.0
62183023;46;2017;28.0
62183023;46;2018;20.0
62183023;46;2019;25.0
62183023;47;2016;18.0
62183023;47;2017;20.0
62183023;47;2018;28.0
62183023;47;2019;21.0
62183023;48;2016;19.0
62183023;48;2017;29.0
62183023;48;2018;19.0
62183023;48;2019;27.0
62183023;49;2016;23.0
62183023;49;2017;18.0
62183023;49;2018;21.0
62183023;49;2019;29.0
62183023;50;2016;15.0
62183023;50;2017;25.0
62183023;50;2018;31.0
62183023;50;2019;31.0
62183023;51;2016;13.0
62183023;51;2017;17.0
62183023;51;2018;19.0
62183023;51;2019;25.0
62183023;52;2016;9.0
62183023;52;2017;10.0
62183023;52;2018;2.0
